date_modified,rib.active_routes_count,rib.backup_routes_count,rib.deleted_routes_count,rib.paths_count,rib.protocol_route_memory,rib.routes_counts,router_id,total_paths,total_prefixes
2022-09-04T01:57:48.198Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:57:48.198Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:58:08.392Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:58:10.408Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:58:10.408Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:58:10.408Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:58:10.408Z,11,0,0,11,1760,11,1.1.1.3,36,30
2022-09-04T01:58:33.746Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:33.746Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:33.746Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:33.746Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:54.271Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:56.343Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:56.343Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:58:56.343Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:15.589Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:19.467Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:19.467Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:19.467Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:19.467Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:42.311Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:42.311Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:42.311Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T01:59:42.311Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:00:02.267Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:00:06.455Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:00:06.455Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:00:06.455Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:00:06.455Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:00:27.449Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:00:29.436Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:00:29.436Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:00:29.436Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:00:49.130Z,11,3,0,14,2240,14,1.1.1.3,36,30
2022-09-04T02:00:53.086Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:00:53.086Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:00:53.086Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:00:53.086Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:01:15.755Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:01:15.755Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:01:15.755Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:01:15.755Z,11,3,0,14,2240,14,1.1.1.3,42,30
2022-09-04T02:01:36.500Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:01:38.466Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:01:38.466Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:01:38.466Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:01:38.466Z,11,0,3,11,2024,14,1.1.1.3,42,30
2022-09-04T02:02:01.960Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:01.960Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:01.960Z,11,0,0,11,1760,11,1.1.1.3,42,30
2022-09-04T02:02:01.960Z,11,0,0,11,1760,11,1.1.1.3,42,30
